TitleNumber,Title,WtrPubIndicator,PubType,Participant,Share,IPNameNumber,CurrentAffliation,RegistrationDate,RegistrationOrigin,ISWCNumber,SongviewStatus
14207649,CORRIDO DE CHANO,P,O,SONGS OF AFINARTE,100.00,00817874992,"BMI     ",05/12/2012,WORKS REGISTRATION,T9119175109,Reconciled
14207649,CORRIDO DE CHANO,W," ",HAROS PEDRO,100.00,00675463414,"BMI     ",05/12/2012,WORKS REGISTRATION,T9119175109,Reconciled
14207650,PACIENCIA AL PACIENTE,P,O,SONGS OF AFINARTE,100.00,00817874992,"BMI     ",05/12/2012,WORKS REGISTRATION,T9119175110,Reconciled
14207650,PACIENCIA AL PACIENTE,W," ",HAROS PEDRO,100.00,00675463414,"BMI     ",05/12/2012,WORKS REGISTRATION,T9119175110,Reconciled
14207651,ELEMENTO PRIMARIO,P,O,SONGS OF AFINARTE,100.00,00817874992,"BMI     ",05/12/2012,WORKS REGISTRATION,T9119175121,Reconciled
14207651,ELEMENTO PRIMARIO,W," ",HAROS PEDRO,100.00,00675463414,"BMI     ",05/12/2012,WORKS REGISTRATION,T9119175121,Reconciled
14207652,EN GUERRA AVISADA,P,O,SONGS OF AFINARTE,100.00,00817874992,"BMI     ",05/12/2012,WORKS REGISTRATION,T9119175132,Reconciled
14207652,EN GUERRA AVISADA,W," ",HAROS PEDRO,100.00,00675463414,"BMI     ",05/12/2012,WORKS REGISTRATION,T9119175132,Reconciled
14207653,ARMAGUEDONES,P,O,SONGS OF AFINARTE,100.00,00817874992,"BMI     ",05/12/2012,WORKS REGISTRATION,T9119175143,Reconciled
14207653,ARMAGUEDONES,W," ",HAROS PEDRO,100.00,00675463414,"BMI     ",05/12/2012,WORKS REGISTRATION,T9119175143,Reconciled
14207654,EN REVOLUCIONES,P,O,SONGS OF AFINARTE,100.00,00817874992,"BMI     ",05/12/2012,WORKS REGISTRATION,T9119175154,Reconciled
14207654,EN REVOLUCIONES,W," ",HAROS PEDRO,100.00,00675463414,"BMI     ",05/12/2012,WORKS REGISTRATION,T9119175154,Reconciled
14207655,CON ESCUELA DE UN RANCHERO,P,O,SONGS OF AFINARTE,100.00,00817874992,"BMI     ",05/12/2012,WORKS REGISTRATION,T9119175165,Reconciled
14207655,CON ESCUELA DE UN RANCHERO,W," ",HAROS PEDRO,100.00,00675463414,"BMI     ",05/12/2012,WORKS REGISTRATION,T9119175165,Reconciled
14207656,LA DONA DE NEGRO,P,O,SONGS OF AFINARTE,100.00,00817874992,"BMI     ",05/12/2012,WORKS REGISTRATION,T9119175176,Reconciled
14207656,LA DONA DE NEGRO,W," ",HAROS PEDRO,100.00,00675463414,"BMI     ",05/12/2012,WORKS REGISTRATION,T9119175176,Reconciled
14207657,MI VIDA EN UN CARTUCHO,P,O,SONGS OF AFINARTE,100.00,00817874992,"BMI     ",05/12/2012,WORKS REGISTRATION,T9119175187,Reconciled
14207657,MI VIDA EN UN CARTUCHO,W," ",HAROS PEDRO,100.00,00675463414,"BMI     ",05/12/2012,WORKS REGISTRATION,T9119175187,Reconciled
14207658,HIMNO DE GUERRA,P,O,SONGS OF AFINARTE,100.00,00817874992,"BMI     ",05/12/2012,WORKS REGISTRATION,T9119175198,Reconciled
14207658,HIMNO DE GUERRA,W," ",HAROS PEDRO,100.00,00675463414,"BMI     ",05/12/2012,WORKS REGISTRATION,T9119175198,Reconciled
14207659,HOMBRE DE GUERRA,P,O,SONGS OF AFINARTE,100.00,00817874992,"BMI     ",05/12/2012,WORKS REGISTRATION,T9119175201,Reconciled
14207659,HOMBRE DE GUERRA,W," ",HAROS PEDRO,100.00,00675463414,"BMI     ",05/12/2012,WORKS REGISTRATION,T9119175201,Reconciled
14241584,3 REYES,P,O,SONGS OF AFINARTE,100.00,00817874992,"BMI     ",05/19/2012,WORKS REGISTRATION,T9122892200,Reconciled
14241584,3 REYES,W," ",HAROS PEDRO,100.00,00675463414,"BMI     ",05/19/2012,WORKS REGISTRATION,T9122892200,Reconciled
20728008,POR MI MALDAD,P,O,SONGS OF AFINARTE,100.00,00817874992,"BMI     ",11/01/2015,WORKS REGISTRATION,T9179399101,Reconciled
20728008,POR MI MALDAD,W," ",GARCIA RODOLFO,100.00,00762696008,"BMI     ",11/01/2015,WORKS REGISTRATION,T9179399101,Reconciled
21814181,CARTA DE RETIRO,P,O,SONGS OF AFINARTE,100.00,00817874992,"BMI     ",04/30/2016,WORKS REGISTRATION,T9190550788,Reconciled
21814181,CARTA DE RETIRO,W," ",HAROS PEDRO,100.00,00675463414,"BMI     ",04/30/2016,WORKS REGISTRATION,T9190550788,Reconciled
21814183,SIGO SIENDO ISMAEL,P,O,SONGS OF AFINARTE,100.00,00817874992,"BMI     ",04/30/2016,WORKS REGISTRATION,T9190550802,Reconciled
21814183,SIGO SIENDO ISMAEL,W," ",HAROS PEDRO,100.00,00675463414,"BMI     ",04/30/2016,WORKS REGISTRATION,T9190550802,Reconciled
21814187,EL CORRIDO DE CHANO,P,O,SONGS OF AFINARTE,100.00,00817874992,"BMI     ",04/30/2016,WORKS REGISTRATION,T9190550824,Reconciled
21814187,EL CORRIDO DE CHANO,W," ",HAROS PEDRO,100.00,00675463414,"BMI     ",04/30/2016,WORKS REGISTRATION,T9190550824,Reconciled
21814189,SE MARCARON BIEN MIS PASOS,P,O,SONGS OF AFINARTE,100.00,00817874992,"BMI     ",04/30/2016,WORKS REGISTRATION,T9190550835,Reconciled
21814189,SE MARCARON BIEN MIS PASOS,W," ",HAROS PEDRO,100.00,00675463414,"BMI     ",04/30/2016,WORKS REGISTRATION,T9190550835,Reconciled
21814192,LA FOGATA,P,O,SONGS OF AFINARTE,100.00,00817874992,"BMI     ",04/30/2016,WORKS REGISTRATION,T9190550846,Reconciled
21814192,LA FOGATA,W," ",HAROS PEDRO,100.00,00675463414,"BMI     ",04/30/2016,WORKS REGISTRATION,T9190550846,Reconciled
21814194,BENITO,P,O,SONGS OF AFINARTE,100.00,00817874992,"BMI     ",04/30/2016,WORKS REGISTRATION,T9190550868,Reconciled
21814194,BENITO,W," ",HAROS PEDRO,100.00,00675463414,"BMI     ",04/30/2016,WORKS REGISTRATION,T9190550868,Reconciled
21814195,EL BRAVO,P,O,SONGS OF AFINARTE,100.00,00817874992,"BMI     ",04/30/2016,WORKS REGISTRATION,T9190550879,Reconciled
21814195,EL BRAVO,W," ",HAROS PEDRO,100.00,00675463414,"BMI     ",04/30/2016,WORKS REGISTRATION,T9190550879,Reconciled
21814198,PROPIO PATRON,P,O,SONGS OF AFINARTE,100.00,00817874992,"BMI     ",04/30/2016,WORKS REGISTRATION,T9190550904,Reconciled
21814198,PROPIO PATRON,W," ",HAROS PEDRO,100.00,00675463414,"BMI     ",04/30/2016,WORKS REGISTRATION,T9190550904,Reconciled
21814203,FELICIANO,P,O,SONGS OF AFINARTE,100.00,00817874992,"BMI     ",04/30/2016,WORKS REGISTRATION,T9190550937,Reconciled
21814203,FELICIANO,W," ",HAROS PEDRO,100.00,00675463414,"BMI     ",04/30/2016,WORKS REGISTRATION,T9190550937,Reconciled
21814205,LA ADIVINANZA,P,O,SONGS OF AFINARTE,100.00,00817874992,"BMI     ",04/30/2016,WORKS REGISTRATION,T9190550959,Reconciled
21814205,LA ADIVINANZA,W," ",HAROS PEDRO,100.00,00675463414,"BMI     ",04/30/2016,WORKS REGISTRATION,T9190550959,Reconciled
21814208,EL ULTIMO ESCAPE,P,O,SONGS OF AFINARTE,100.00,00817874992,"BMI     ",04/30/2016,WORKS REGISTRATION,T9190550982,Reconciled
21814208,EL ULTIMO ESCAPE,W," ",HAROS PEDRO,100.00,00675463414,"BMI     ",04/30/2016,WORKS REGISTRATION,T9190550982,Reconciled
21814213,DEL MONTE SOY,P,O,SONGS OF AFINARTE,100.00,00817874992,"BMI     ",04/30/2016,WORKS REGISTRATION,T9190551032,Reconciled
21814213,DEL MONTE SOY,W," ",HAROS PEDRO,100.00,00675463414,"BMI     ",04/30/2016,WORKS REGISTRATION,T9190551032,Reconciled
21814219,BURRO AMARRADO,P,O,SONGS OF AFINARTE,100.00,00817874992,"BMI     ",04/30/2016,WORKS REGISTRATION,T9190551098,Reconciled
21814219,BURRO AMARRADO,W," ",HAROS PEDRO,100.00,00675463414,"BMI     ",04/30/2016,WORKS REGISTRATION,T9190551098,Reconciled
21814224,DESDE QUE TE VI,P,O,SONGS OF AFINARTE,100.00,00817874992,"BMI     ",04/30/2016,WORKS REGISTRATION,T9190551112,Reconciled
21814224,DESDE QUE TE VI,W," ",HAROS PEDRO,100.00,00675463414,"BMI     ",04/30/2016,WORKS REGISTRATION,T9190551112,Reconciled
21814234,PROCAMPO,P,O,SONGS OF AFINARTE,100.00,00817874992,"BMI     ",04/30/2016,WORKS REGISTRATION,T9190551214,Reconciled
21814234,PROCAMPO,W," ",HAROS PEDRO,100.00,00675463414,"BMI     ",04/30/2016,WORKS REGISTRATION,T9190551214,Reconciled
21814235,QUIERO MIRAR,P,O,SONGS OF AFINARTE,100.00,00817874992,"BMI     ",04/30/2016,WORKS REGISTRATION,T9190551225,Reconciled
21814235,QUIERO MIRAR,W," ",HAROS PEDRO,100.00,00675463414,"BMI     ",04/30/2016,WORKS REGISTRATION,T9190551225,Reconciled
21838185,FUGITIVO DEL INFIERNO,P,O,SONGS OF AFINARTE,100.00,00817874992,"BMI     ",05/07/2016,WORKS REGISTRATION,T9190789607,Reconciled
21838185,FUGITIVO DEL INFIERNO,W," ",HAROS PEDRO,100.00,00675463414,"BMI     ",05/07/2016,WORKS REGISTRATION,T9190789607,Reconciled
21838188,EL GLASS,P,O,SONGS OF AFINARTE,100.00,00817874992,"BMI     ",05/07/2016,WORKS REGISTRATION,T9190789629,Reconciled
21838188,EL GLASS,W," ",HAROS PEDRO,100.00,00675463414,"BMI     ",05/07/2016,WORKS REGISTRATION,T9190789629,Reconciled
21838190,EL ULTIMO NOVENARIO,P,O,SONGS OF AFINARTE,100.00,00817874992,"BMI     ",05/07/2016,WORKS REGISTRATION,T9190789652,Reconciled
21838190,EL ULTIMO NOVENARIO,W," ",HAROS PEDRO,100.00,00675463414,"BMI     ",05/07/2016,WORKS REGISTRATION,T9190789652,Reconciled
21838191,NO SE VIVIR SIN TI,P,O,SONGS OF AFINARTE,100.00,00817874992,"BMI     ",05/07/2016,WORKS REGISTRATION,T9190789663,Reconciled
21838191,NO SE VIVIR SIN TI,W," ",HAROS PEDRO,100.00,00675463414,"BMI     ",05/07/2016,WORKS REGISTRATION,T9190789663,Reconciled
21838192,MARTIN MACHADO,P,O,SONGS OF AFINARTE,100.00,00817874992,"BMI     ",05/07/2016,WORKS REGISTRATION,T9190789674,Reconciled
21838192,MARTIN MACHADO,W," ",HAROS PEDRO,100.00,00675463414,"BMI     ",05/07/2016,WORKS REGISTRATION,T9190789674,Reconciled
21838193,EL CHAPO Y EL GUERO PALMA,P,O,SONGS OF AFINARTE,100.00,00817874992,"BMI     ",05/07/2016,WORKS REGISTRATION,T9190789685,Reconciled
21838193,EL CHAPO Y EL GUERO PALMA,W," ",HAROS PEDRO,100.00,00675463414,"BMI     ",05/07/2016,WORKS REGISTRATION,T9190789685,Reconciled
21838194,MANUEL MACHADO,P,O,SONGS OF AFINARTE,100.00,00817874992,"BMI     ",05/07/2016,WORKS REGISTRATION,T9190789696,Reconciled
21838194,MANUEL MACHADO,W," ",HAROS PEDRO,100.00,00675463414,"BMI     ",05/07/2016,WORKS REGISTRATION,T9190789696,Reconciled
21838208,COMO UN CERILLAZO,P,O,SONGS OF AFINARTE,100.00,00817874992,"BMI     ",05/07/2016,WORKS REGISTRATION,T9190787565,Reconciled
21838208,COMO UN CERILLAZO,W," ",HAROS PEDRO,100.00,00675463414,"BMI     ",05/07/2016,WORKS REGISTRATION,T9190787565,Reconciled
21838227,TONIELADAS,P,O,SONGS OF AFINARTE,100.00,00817874992,"BMI     ",05/07/2016,WORKS REGISTRATION,T9190787689,Reconciled
21838227,TONIELADAS,W," ",HAROS PEDRO,100.00,00675463414,"BMI     ",05/07/2016,WORKS REGISTRATION,T9190787689,Reconciled
21838244,HOY VENGO POR TI,P,O,SONGS OF AFINARTE,100.00,00817874992,"BMI     ",05/07/2016,WORKS REGISTRATION,T9190787872,Reconciled
21838244,HOY VENGO POR TI,W," ",HAROS PEDRO,100.00,00675463414,"BMI     ",05/07/2016,WORKS REGISTRATION,T9190787872,Reconciled
21838246,LISTA NEGRA,P,O,SONGS OF AFINARTE,100.00,00817874992,"BMI     ",05/07/2016,WORKS REGISTRATION,T9190787907,Reconciled
21838246,LISTA NEGRA,W," ",HAROS PEDRO,100.00,00675463414,"BMI     ",05/07/2016,WORKS REGISTRATION,T9190787907,Reconciled
22858255,PIERDES Y GANAS,P,O,SONGS OF AFINARTE,100.00,00817874992,"BMI     ",09/24/2016,WORKS REGISTRATION,T9198669339,Reconciled
22858255,PIERDES Y GANAS,W," ",GARCIA RODOLFO,100.00,00762696008,"BMI     ",09/24/2016,WORKS REGISTRATION,T9198669339,Reconciled
23135162,LOS CHAPARRITOS,P,O,SONGS OF AFINARTE,100.00,00817874992,"BMI     ",11/09/2016,WORKS REGISTRATION,T9201653329,Reconciled
23135162,LOS CHAPARRITOS,W," ",RAFAEL COBIAN CARO,100.00,00823332955,"BMI     ",11/09/2016,WORKS REGISTRATION,T9201653329,Reconciled
23590050,NI TU NI NADIE,W," ",RAMOS GAXIOLA JAIRO DE JESUS,100.00,00675282125,"BMI     ",01/19/2017,WORKS REGISTRATION,T9205191179,Reconciled
23590050,NI TU NI NADIE,P,O,SONGS OF AFINARTE,100.00,00817874992,"BMI     ",01/19/2017,WORKS REGISTRATION,T9205191179,Reconciled
23590051,REINA LA FALSEDAD,W," ",RAMOS GAXIOLA JAIRO DE JESUS,100.00,00675282125,"BMI     ",01/19/2017,WORKS REGISTRATION,T9205191191,Reconciled
23590051,REINA LA FALSEDAD,P,O,SONGS OF AFINARTE,100.00,00817874992,"BMI     ",01/19/2017,WORKS REGISTRATION,T9205191191,Reconciled
23590075,VICENTE RAMIREZ,W," ",COTA RAMIREZ JESUS LENIN,100.00,00742599312,"BMI     ",01/19/2017,WORKS REGISTRATION,T9205191782,Reconciled
23590075,VICENTE RAMIREZ,P,O,SONGS OF AFINARTE,100.00,00817874992,"BMI     ",01/19/2017,WORKS REGISTRATION,T9205191782,Reconciled
23590083,EL RAYO,W," ",COTA RAMIREZ JESUS LENIN,100.00,00742599312,"BMI     ",01/19/2017,WORKS REGISTRATION,T9205191942,Reconciled
23590083,EL RAYO,P,O,SONGS OF AFINARTE,100.00,00817874992,"BMI     ",01/19/2017,WORKS REGISTRATION,T9205191942,Reconciled
23590095,EL CORRIDO DE ALFREDO,W," ",RAMOS GAXIOLA JAIRO DE JESUS,100.00,00675282125,"BMI     ",01/19/2017,WORKS REGISTRATION,T9205192296,Reconciled
23590095,EL CORRIDO DE ALFREDO,P,O,SONGS OF AFINARTE,100.00,00817874992,"BMI     ",01/19/2017,WORKS REGISTRATION,T9205192296,Reconciled
25024180,EL TRAMPOLIN,W," ",ANGULO PEREZ JESUS OTONIEL,50.00,00611905473,"BMI     ",08/10/2017,WORKS REGISTRATION,T9221566821,Share and/or Participant Conflict
25024180,EL TRAMPOLIN,P,O,SONGS OF MATANGA PUBLISHING,25.00,00690158434,"BMI     ",08/10/2017,WORKS REGISTRATION,T9221566821,Share and/or Participant Conflict
25024180,EL TRAMPOLIN,P,O,DALE MATANGA MUSIC PUBLISHING,25.00,00689979241,"ASCAP   ",08/10/2017,WORKS REGISTRATION,T9221566821,Share and/or Participant Conflict
25024180,EL TRAMPOLIN,P,O,SONGS OF AFINARTE,25.00,00817874992,"BMI     ",08/10/2017,WORKS REGISTRATION,T9221566821,Share and/or Participant Conflict
25024180,EL TRAMPOLIN,W," ",GONZALEZ JAVIER,50.00,00836974881,"NA      ",08/10/2017,WORKS REGISTRATION,T9221566821,Share and/or Participant Conflict
25024180,EL TRAMPOLIN,P,O,MELODIES OF AFINARTE,0.00,00807953316,"ASCAP   ",08/10/2017,WORKS REGISTRATION,T9221566821,Share and/or Participant Conflict
25024180,EL TRAMPOLIN,P,O,MELODIES OF RIGOLETTO MUSIC PUBLISHING,25.00,01036461187,"ASCAP   ",08/10/2017,WORKS REGISTRATION,T9221566821,Share and/or Participant Conflict
25718204,CASITAS DE COJOYO,P,O,SONGS OF AFINARTE,100.00,00817874992,"BMI     ",10/25/2017,WORKS REGISTRATION,T9230801237,Reconciled
25718204,CASITAS DE COJOYO,W," ",HAROS PEDRO,100.00,00675463414,"BMI     ",10/25/2017,WORKS REGISTRATION,T9230801237,Reconciled
25718239,LOS CUERVOS,P,O,SONGS OF AFINARTE,100.00,00817874992,"BMI     ",10/25/2017,WORKS REGISTRATION,T9230801975,Reconciled
25718239,LOS CUERVOS,W," ",HAROS PEDRO,100.00,00675463414,"BMI     ",10/25/2017,WORKS REGISTRATION,T9230801975,Reconciled
25718242,LOS ELOTES,P,O,SONGS OF AFINARTE,100.00,00817874992,"BMI     ",10/25/2017,WORKS REGISTRATION,T9230802047,Reconciled
25718242,LOS ELOTES,W," ",HAROS PEDRO,100.00,00675463414,"BMI     ",10/25/2017,WORKS REGISTRATION,T9230802047,Reconciled
25718245,OBELISCO,P,O,SONGS OF AFINARTE,100.00,00817874992,"BMI     ",10/25/2017,WORKS REGISTRATION,T9230802070,Reconciled
25718245,OBELISCO,W," ",HAROS PEDRO,100.00,00675463414,"BMI     ",10/25/2017,WORKS REGISTRATION,T9230802070,Reconciled
25718253,CORONAS DORADAS,P,O,SONGS OF AFINARTE,100.00,00817874992,"BMI     ",10/25/2017,WORKS REGISTRATION,T9230802183,Reconciled
25718253,CORONAS DORADAS,W," ",HAROS PEDRO,100.00,00675463414,"BMI     ",10/25/2017,WORKS REGISTRATION,T9230802183,Reconciled
25718255,EL UNO ES CARO,P,O,SONGS OF AFINARTE,100.00,00817874992,"BMI     ",10/25/2017,WORKS REGISTRATION,T9230802207,Reconciled
25718255,EL UNO ES CARO,W," ",HAROS PEDRO,100.00,00675463414,"BMI     ",10/25/2017,WORKS REGISTRATION,T9230802207,Reconciled
25718260,VICTORINO LOPEZ,P,O,SONGS OF AFINARTE,100.00,00817874992,"BMI     ",10/25/2017,WORKS REGISTRATION,T9230802309,Reconciled
25718260,VICTORINO LOPEZ,W," ",HAROS PEDRO,100.00,00675463414,"BMI     ",10/25/2017,WORKS REGISTRATION,T9230802309,Reconciled
25718267,BUEN GALLO,P,O,SONGS OF AFINARTE,100.00,00817874992,"BMI     ",10/25/2017,WORKS REGISTRATION,T9230802514,Reconciled
25718267,BUEN GALLO,W," ",HAROS PEDRO,100.00,00675463414,"BMI     ",10/25/2017,WORKS REGISTRATION,T9230802514,Reconciled
25718327,MITOTEROS Y METICHES,P,O,SONGS OF AFINARTE,100.00,00817874992,"BMI     ",10/25/2017,WORKS REGISTRATION,T9230797474,Reconciled
25718327,MITOTEROS Y METICHES,W," ",HAROS PEDRO,100.00,00675463414,"BMI     ",10/25/2017,WORKS REGISTRATION,T9230797474,Reconciled
25718331,EL RR,P,O,SONGS OF AFINARTE,100.00,00817874992,"BMI     ",10/25/2017,WORKS REGISTRATION,T9230797532,Reconciled
25718331,EL RR,W," ",HAROS PEDRO,100.00,00675463414,"BMI     ",10/25/2017,WORKS REGISTRATION,T9230797532,Reconciled
25718333,EN EL ULTIMO MINUTO,P,O,SONGS OF AFINARTE,100.00,00817874992,"BMI     ",10/25/2017,WORKS REGISTRATION,T9230797554,Reconciled
25718333,EN EL ULTIMO MINUTO,W," ",HAROS PEDRO,100.00,00675463414,"BMI     ",10/25/2017,WORKS REGISTRATION,T9230797554,Reconciled
25718334,MANNY,P,O,SONGS OF AFINARTE,100.00,00817874992,"BMI     ",10/25/2017,WORKS REGISTRATION,T9230797587,Reconciled
25718334,MANNY,W," ",HAROS PEDRO,100.00,00675463414,"BMI     ",10/25/2017,WORKS REGISTRATION,T9230797587,Reconciled
25718338,BRINDEMOS,P,O,SONGS OF AFINARTE,100.00,00817874992,"BMI     ",10/25/2017,WORKS REGISTRATION,T9230798091,Reconciled
25718338,BRINDEMOS,W," ",HAROS PEDRO,100.00,00675463414,"BMI     ",10/25/2017,WORKS REGISTRATION,T9230798091,Reconciled
25718342,MACHACA DE VENADO,P,O,SONGS OF AFINARTE,100.00,00817874992,"BMI     ",10/25/2017,WORKS REGISTRATION,T9230798182,Reconciled
25718342,MACHACA DE VENADO,W," ",HAROS PEDRO,100.00,00675463414,"BMI     ",10/25/2017,WORKS REGISTRATION,T9230798182,Reconciled
25718345,AMADO FUE AMADO,P,O,SONGS OF AFINARTE,100.00,00817874992,"BMI     ",10/25/2017,WORKS REGISTRATION,T9230798320,Reconciled
25718345,AMADO FUE AMADO,W," ",HAROS PEDRO,100.00,00675463414,"BMI     ",10/25/2017,WORKS REGISTRATION,T9230798320,Reconciled
25865135,AL MAYO LO QUE ES DEL MAYO ELFANTASMA VERSION,W," ",DELGADO MADRID MARIO OSWALDO,100.00,00616941635,"BMI     ",12/19/2017,WORKS REGISTRATION,T9232791387,Reconciled
25865135,AL MAYO LO QUE ES DEL MAYO ELFANTASMA VERSION,P,O,MADEL,50.00,00759218509,"BMI     ",12/19/2017,WORKS REGISTRATION,T9232791387,Reconciled
25865135,AL MAYO LO QUE ES DEL MAYO ELFANTASMA VERSION,P,O,SONGS OF AFINARTE,50.00,00817874992,"BMI     ",12/19/2017,WORKS REGISTRATION,T9232791387,Reconciled
27282672,SERENATO EN MAYO,P,O,SONGS OF AFINARTE,100.00,00817874992,"BMI     ",05/25/2018,WORKS REGISTRATION,T9244362401,Reconciled
27282672,SERENATO EN MAYO,W," ",KANALES,100.00,00770930824,"BMI     ",05/25/2018,WORKS REGISTRATION,T9244362401,Reconciled
27284006,SOY GUERRERO Y MICHOACAN,P,O,SONGS OF AFINARTE,100.00,00817874992,"BMI     ",06/18/2018,WORKS REGISTRATION,T9252471582,Reconciled
27284006,SOY GUERRERO Y MICHOACAN,W," ",KANALES,100.00,00770930824,"BMI     ",06/18/2018,WORKS REGISTRATION,T9252471582,Reconciled
27284009,PINAS DE HAWAII,P,O,SONGS OF AFINARTE,100.00,00817874992,"BMI     ",06/18/2018,WORKS REGISTRATION,T9252471593,Reconciled
27284009,PINAS DE HAWAII,W," ",KANALES,100.00,00770930824,"BMI     ",06/18/2018,WORKS REGISTRATION,T9252471593,Reconciled
27284012,TREMENTINA,P,O,SONGS OF AFINARTE,100.00,00817874992,"BMI     ",06/18/2018,WORKS REGISTRATION,T9252471640,Reconciled
27284012,TREMENTINA,W," ",KANALES,100.00,00770930824,"BMI     ",06/18/2018,WORKS REGISTRATION,T9252471640,Reconciled
27284018,LEYES DE MI RANCHO,P,O,SONGS OF AFINARTE,100.00,00817874992,"BMI     ",06/18/2018,WORKS REGISTRATION,T9252471673,Reconciled
27284018,LEYES DE MI RANCHO,W," ",KANALES,100.00,00770930824,"BMI     ",06/18/2018,WORKS REGISTRATION,T9252471673,Reconciled
27287326,EL VIEJO,P,O,SONGS OF AFINARTE,100.00,00817874992,"BMI     ",05/25/2018,WORKS REGISTRATION,T9244381735,Reconciled
27287326,EL VIEJO,W," ",KANALES,100.00,00770930824,"BMI     ",05/25/2018,WORKS REGISTRATION,T9244381735,Reconciled
27287340,SENDA MAFIOSA,P,O,SONGS OF AFINARTE,100.00,00817874992,"BMI     ",05/25/2018,WORKS REGISTRATION,T9244380276,Reconciled
27287340,SENDA MAFIOSA,W," ",KANALES,100.00,00770930824,"BMI     ",05/25/2018,WORKS REGISTRATION,T9244380276,Reconciled
27287342,PATEANDO PIEDRAS,P,O,SONGS OF AFINARTE,100.00,00817874992,"BMI     ",05/25/2018,WORKS REGISTRATION,T9244380298,Reconciled
27287342,PATEANDO PIEDRAS,W," ",KANALES,100.00,00770930824,"BMI     ",05/25/2018,WORKS REGISTRATION,T9244380298,Reconciled
27287351,TRES PELONES,P,O,SONGS OF AFINARTE,100.00,00817874992,"BMI     ",05/25/2018,WORKS REGISTRATION,T9244380527,Reconciled
27287351,TRES PELONES,W," ",KANALES,100.00,00770930824,"BMI     ",05/25/2018,WORKS REGISTRATION,T9244380527,Reconciled
27287353,NEBLINA DE RANCHO,P,O,SONGS OF AFINARTE,100.00,00817874992,"BMI     ",05/25/2018,WORKS REGISTRATION,T9244380607,Reconciled
27287353,NEBLINA DE RANCHO,W," ",KANALES,100.00,00770930824,"BMI     ",05/25/2018,WORKS REGISTRATION,T9244380607,Reconciled
27287359,TEMPESTADES,P,O,SONGS OF AFINARTE,100.00,00817874992,"BMI     ",05/25/2018,WORKS REGISTRATION,T9244380878,Reconciled
27287359,TEMPESTADES,W," ",KANALES,100.00,00770930824,"BMI     ",05/25/2018,WORKS REGISTRATION,T9244380878,Reconciled
27287367,HOMBRE DE CATORCE ANOS,P,O,SONGS OF AFINARTE,100.00,00817874992,"BMI     ",05/25/2018,WORKS REGISTRATION,T9244381020,Reconciled
27287367,HOMBRE DE CATORCE ANOS,W," ",KANALES,100.00,00770930824,"BMI     ",05/25/2018,WORKS REGISTRATION,T9244381020,Reconciled
27287373,LA MEDECINA,P,O,SONGS OF AFINARTE,100.00,00817874992,"BMI     ",05/25/2018,WORKS REGISTRATION,T9244381257,Reconciled
27287373,LA MEDECINA,W," ",KANALES,100.00,00770930824,"BMI     ",05/25/2018,WORKS REGISTRATION,T9244381257,Reconciled
27287379,CUATRO TROCAS,P,O,SONGS OF AFINARTE,100.00,00817874992,"BMI     ",05/25/2018,WORKS REGISTRATION,T9244381473,Reconciled
27287379,CUATRO TROCAS,W," ",KANALES,100.00,00770930824,"BMI     ",05/25/2018,WORKS REGISTRATION,T9244381473,Reconciled
27287399,TRATOS PELIGROSOS,P,O,SONGS OF AFINARTE,100.00,00817874992,"BMI     ",05/25/2018,WORKS REGISTRATION,T9244381815,Reconciled
27287399,TRATOS PELIGROSOS,W," ",KANALES,100.00,00770930824,"BMI     ",05/25/2018,WORKS REGISTRATION,T9244381815,Reconciled
27287405,ALAS DE PAPEL,P,O,SONGS OF AFINARTE,100.00,00817874992,"BMI     ",05/25/2018,WORKS REGISTRATION,T9244381871,Reconciled
27287405,ALAS DE PAPEL,W," ",KANALES,100.00,00770930824,"BMI     ",05/25/2018,WORKS REGISTRATION,T9244381871,Reconciled
27287408,ADIVINANZA,P,O,SONGS OF AFINARTE,100.00,00817874992,"BMI     ",05/25/2018,WORKS REGISTRATION,T9244381906,Reconciled
27287408,ADIVINANZA,W," ",KANALES,100.00,00770930824,"BMI     ",05/25/2018,WORKS REGISTRATION,T9244381906,Reconciled
27287423,EL JINETE,P,O,SONGS OF AFINARTE,100.00,00817874992,"BMI     ",05/25/2018,WORKS REGISTRATION,T9244382012,Reconciled
27287423,EL JINETE,W," ",KANALES,100.00,00770930824,"BMI     ",05/25/2018,WORKS REGISTRATION,T9244382012,Reconciled
27287429,TIROS Y FLORES,P,O,SONGS OF AFINARTE,100.00,00817874992,"BMI     ",05/25/2018,WORKS REGISTRATION,T9244382067,Reconciled
27287429,TIROS Y FLORES,W," ",KANALES,100.00,00770930824,"BMI     ",05/25/2018,WORKS REGISTRATION,T9244382067,Reconciled
27287433,NACHO CORONEL,P,O,SONGS OF AFINARTE,100.00,00817874992,"BMI     ",05/25/2018,WORKS REGISTRATION,T9244382103,Reconciled
27287433,NACHO CORONEL,W," ",KANALES,100.00,00770930824,"BMI     ",05/25/2018,WORKS REGISTRATION,T9244382103,Reconciled
27287442,EL MELE,P,O,SONGS OF AFINARTE,100.00,00817874992,"BMI     ",05/25/2018,WORKS REGISTRATION,T9244382238,Reconciled
27287442,EL MELE,W," ",KANALES,100.00,00770930824,"BMI     ",05/25/2018,WORKS REGISTRATION,T9244382238,Reconciled
